song_id	candidate_url	candidate_title	note
sc_spread_the_wings_-19_colors-	https://www.uta-net.com/song/279067/	シャイニーカラーズ Spread the Wings!! -19 colors- 歌詞	
sc_super_duper_dreamer	https://www.uta-net.com/song/390691/	Σ Desire SUPER DUPER DREAMER 歌詞	
sc_super_duper_dreamer_game_size	https://www.uta-net.com/song/390689/	Σ Desire SUPER DUPER DREAMER (Game Size) 歌詞	
sc_tokyo自由系ガール	https://www.uta-net.com/song/393001/	No 1 feel alone Tokyo自由系*ガール 歌詞	
sc_tokyo自由系ガール_game_size	https://www.uta-net.com/song/393001/	No 1 feel alone Tokyo自由系*ガール 歌詞
sc_アイノウ_game_size	https://www.uta-net.com/song/385383/	コメティック アイノウ 歌詞	
sc_カウントダウンラブ	https://www.uta-net.com/song/384587/	I'm a Cutie Finder カウントダウンラブ 歌詞	
sc_カウントダウンラブ_game_size	https://www.uta-net.com/song/386005/	I'm a Cutie Finder カウントダウンラブ (Game Size) 歌詞	
sc_キラピコexe_game_size	https://www.uta-net.com/song/382021/	放課後クライマックスガールズ キラピコ.exe 歌詞	
sc_ボーダーレスノンストレス	https://www.uta-net.com/song/386202/	Sonic Heart (and Signal) ボーダーレス・ノンストレス 歌詞	
sc_ボーダーレスノンストレス_game_size	https://www.uta-net.com/song/386202/	Sonic Heart (and Signal) ボーダーレス・ノンストレス 歌詞	
sc_感謝のコントレイル_game_size	https://www.uta-net.com/song/388218/	シャイニーカラーズ 感謝のコントレイル 歌詞	
sc_放っておかないファイヴァーズ			
sc_散花-sanka-	https://www.uta-net.com/song/391530/	彼岸流 散花-sanka- 歌詞	
sc_散花-sanka-_game_size	https://www.uta-net.com/song/391530/	彼岸流 散花-sanka- 歌詞	
sc_紅花-benibana-	https://www.uta-net.com/song/394129/	彼岸流 紅花-benibana- 歌詞	
sc_紅花-benibana-_game_size	https://www.uta-net.com/song/394129/	彼岸流 紅花-benibana- 歌詞	
sc_疾風ザブングル	https://www.uta-net.com/song/386278/	放課後クライマックスガールズ 疾風ザブングル 歌詞	
sc_街角メランコリー	https://www.uta-net.com/song/392397/	ザ・ふたりトラベラー 街角メランコリー 歌詞	
sidem_315_steelo			
sidem_alice_or_guilty_indies_live_arrange-			
sidem_back_flipemotion	https://www.uta-net.com/song/235702/	御手洗翔太(松岡禎丞) BACK FLIP☆EMOTION 歌詞	
sidem_before_long_delight	https://www.uta-net.com/song/325881/	Jupiter Before long, DELIGHT 歌詞	
sidem_break_all_time	https://www.uta-net.com/song/384180/	S.E.M Break All Time! 歌詞	
sidem_cast_a_spell	https://www.uta-net.com/song/384579/	伊集院北斗(神原大地), 桜庭薫(内田雄馬), 榊夏来(渡辺紘), 葛之葉雨彦(笠間淳) CAST A SPELL 歌詞	
sidem_datetoday			
sidem_duckling_soars			
sidem_earnest			
sidem_flash_light			
sidem_lets_have			
sidem_life_is_beautiful	https://www.uta-net.com/song/341360/	舞田類(榎木淳弥) Life is Beautiful! 歌詞	
sidem_my_pen_light_smile	https://www.uta-net.com/song/274991/	柏木翼(八代拓)、華村翔真(バレッタ裕)、東雲荘一郎(天崎滉平)、円城寺道流(濱野大輝) My pen light, SMILE 歌詞	
sidem_precious_love			
sidem_re_rainbow			
sidem_supreme_stars_who_goes_first_ver	https://www.uta-net.com/song/374635/	315 ALLSTARS SUPREME STARS !!! 歌詞	
sidem_white_starlit_night	https://www.uta-net.com/song/388614/	DRAMATIC STARS White Starlit Night 歌詞	
sidem_wonderlanders_party	https://www.uta-net.com/song/381083/	天ヶ瀬冬馬(寺島拓篤)、握野英雄(熊谷健太郎)、卯月巻緒(児玉卓也)、牙崎漣(小松昌平) Wonderlander's Party 歌詞	
sidem_yellow			
sidem_your_nobility	https://www.uta-net.com/song/281044/	桜庭薫(内田雄馬), 黒野玄武(深町寿成), 九十九一希(徳武竜也) Your Nobility 歌詞	
sidem_かざぐるま_windy_road			
sidem_てのうえで踊るメヌエット	https://www.uta-net.com/song/390695/	ピエール(堀江瞬), 伊瀬谷四季(野上翔), 紅井朱雀(益山武明), 北村想楽(汐谷文康) てのうえで踊るメヌエット 歌詞	
sidem_わんだふる哉人生			未着手
sidem_アニマフォルトゥナ			未着手
sidem_ディソナンスエデン			未着手
sidem_トロンプルイユダンスホール			未着手
sidem_千夜一夜に瞬く星よ			未着手
sidem_奇想天外狂詩曲-fantastic_rhapsody-			未着手
sidem_眠らぬ夜にスパシーバ			未着手
sidem_竜宮逢幻記			未着手
