song_id	candidate_url	candidate_title	note
ml_夢にかけるrainbow真壁瑞希ver	https://www.uta-net.com/song/322280/	765 MILLION ALLSTARS 夢にかけるRainbow 歌詞 - 歌ネット
ml_夢にかけるrainbow馬場このみver	https://www.uta-net.com/song/322280/	765 MILLION ALLSTARS 夢にかけるRainbow 歌詞 - 歌ネット
ml_夢にかけるrainbow高山紗代子ver	https://www.uta-net.com/song/322280/	765 MILLION ALLSTARS 夢にかけるRainbow 歌詞 - 歌ネット
ml_夢色トレイン_チバニャン_remix	https://www.uta-net.com/song/170685/	箱崎星梨花(麻倉もも) 夢色トレイン 歌詞 - 歌ネット
ml_微笑み日和チバニャン_remix	https://www.uta-net.com/song/151728/	エミリー スチュアート(郁原ゆう) 微笑み日和 歌詞 - 歌ネット
ml_微笑んだから気づいたんだkan_takahiko_remix	https://www.uta-net.com/song/163072/	双海亜美(下田麻美) 微笑んだから、気づいたんだ。 歌詞 - 歌ネット
ml_恋のlesson初級編チバニャン_remix	https://www.uta-net.com/song/153000/	伊吹翼(Machico) 恋のLesson初級編 歌詞 - 歌ネット
ml_恋の音色ライン_koukiish_remix	https://www.uta-net.com/song/182717/	二階堂千鶴(野村香菜子) 恋の音色ライン 歌詞 - 歌ネット
ml_恋心マスカレード_toriena_remix	https://www.uta-net.com/song/161580/	二階堂千鶴(野村香菜子) 恋心マスカレード 歌詞 - 歌ネット
ml_恋愛ロードランナーyuzen_remix	https://www.uta-net.com/song/174906/	高坂海美(上田麗奈) 恋愛ロードランナー 歌詞 - 歌ネット
ml_恋花snails_house_remix	https://www.uta-net.com/song/158516/	四条貴音(原由実) 恋花 歌詞 - 歌ネット
ml_想いはcarnavalチバニャン_remix	https://www.uta-net.com/song/159938/	島原エレナ(角元明日香) 想いはCarnaval 歌詞 - 歌ネット
ml_愛の旋律
ml_星屑のシンフォニア_5u5h1_remix	https://www.uta-net.com/song/182719/	ミルキーウェイ 星屑のシンフォニア 歌詞 - 歌ネット
ml_月のほとりで	https://www.uta-net.com/song/178918/	三浦あずさ(たかはし智秋) 月のほとりで 歌詞 - 歌ネット
ml_月のほとりで_cors_remix	https://www.uta-net.com/song/178918/	三浦あずさ(たかはし智秋) 月のほとりで 歌詞 - 歌ネット
ml_朝焼けのクレッシェンドkan_takahiko_remix	https://www.uta-net.com/song/150157/	田中琴葉(種田梨沙) 朝焼けのクレッシェンド 歌詞 - 歌ネット
